x,y
-6.0,-67.8951
-5.5897,-49.5333
-5.1795,-23.9127
-4.7692,-45.906
-4.359,-43.1283
-3.9487,-32.1732
-3.5385,-5.297
-3.1282,-9.172
-2.7179,-17.7774
-2.3077,1.5292
-1.8974,-1.6221
-1.4872,14.0147
-1.0769,-8.9693
-0.6667,-1.7223
-0.2564,-1.4619
0.1538,-16.6683
0.5641,10.2697
0.9744,10.0077
1.3846,6.1942
1.7949,2.4276
2.2051,-15.6106
2.6154,-1.1302
3.0256,-0.4741
3.4359,-7.9115
3.8462,1.1697
4.2564,9.1679
4.6667,31.0113
5.0769,5.0832
5.4872,6.2499
5.8974,1.4096
6.3077,-25.8568
6.7179,3.226
7.1282,5.5679
7.5385,43.037
7.9487,5.0516
8.359,14.7749
8.7692,12.5532
9.1795,-1.0851
9.5897,37.549
10.0,36.279
