radiation_dose,dna_damage_index
2.0,131.38
2.46,20.95
2.92,54.95
3.38,80.70
3.85,18.77
4.31,65.06
4.77,66.79
5.23,-28.51
5.69,124.58
6.15,101.88
6.62,34.49
7.08,59.47
7.54,96.88
8.0,55.23
8.46,57.27
8.92,-7.59
9.38,105.41
9.85,85.34
10.31,98.46
10.77,5.65
11.23,188.20
11.69,115.46
12.15,97.16
12.62,243.64
13.08,145.41
13.54,86.45
14.0,164.91
14.46,85.12
14.92,295.45
15.38,244.76
15.85,260.10
16.31,396.71
16.77,287.41
17.23,452.02
17.69,357.44
18.15,487.21
18.62,514.44
19.08,722.71
19.54,805.82
20.0,761.88
