annual_uv_exposure_hours,skin_cancer_rate_per_100k
100.0,2201.85
108.11,2125.06
116.22,1966.11
124.32,1852.91
132.43,1644.52
140.54,1417.37
148.65,1490.73
156.76,1292.7
164.86,1283.28
172.97,1247.89
181.08,1139.34
189.19,1154.29
197.3,1072.72
205.41,1322.19
213.51,1290.56
221.62,1588.78
229.73,1832.79
237.84,2261.17
245.95,2689.35
254.05,3116.87
262.16,3805.2
270.27,4474.28
278.38,5360.1
286.49,6373.94
294.59,7310.2
302.7,8729.67
310.81,9906.05
318.92,11456.43
327.03,13181.36
335.14,14675.7
343.24,16684.98
351.35,18789.35
359.46,21009.6
367.57,23595.22
375.68,26131.64
383.78,29053.06
391.89,31941.01
400.0,35224.8
